Model;fine_tuning;Random_seed;GFP;AAV;GB;Staub;Melt;SubLoc;Dis;SecStr
ESM2 8M;full_model;99;68.6%;82.5%;89.1%;77.3%;58.1%;54.5%;71.0%;76.2%
ESM2 8M;full_model;98;68.9%;84.9%;88.2%;74.6%;58.5%;57.1%;71.6%;76.2%
ESM2 8M;full_model;97;69.1%;80.6%;87.5%;77.8%;58.8%;55.9%;71.8%;76.0%
ESM2 35M;full_model;99;69.2%;77.6%;87.4%;76.6%;58.2%;59.0%;72.7%;79.1%
ESM2 35M;full_model;98;68.7%;81.8%;88.1%;77.4%;59.0%;56.5%;74.3%;79.1%
ESM2 35M;full_model;97;68.9%;83.1%;88.2%;76.7%;62.3%;58.8%;73.1%;79.2%
ESM2 150M;full_model;99;69.3%;84.8%;87.8%;74.0%;63.8%;60.6%;74.8%;82.7%
ESM2 150M;full_model;98;68.9%;70.1%;87.8%;74.1%;62.6%;61.4%;72.9%;82.9%
ESM2 150M;full_model;97;69.0%;84.8%;88.1%;62.6%;61.5%;62.7%;74.4%;82.8%
ESM2 150M;full_model;96;-;84.2%;-;-;-;-;-;-
ESM2 650M;full_model;99;68.8%;78.1%;87.1%;69.8%;66.1%;65.1%;72.0%;85.5%
ESM2 650M;full_model;98;69.2%;80.7%;88.6%;78.5%;67.8%;63.5%;72.4%;85.5%
ESM2 650M;full_model;97;68.5%;76.2%;88.1%;74.5%;65.3%;62.9%;71.6%;85.5%
ESM2 8M;LoRA;99;69,20%;80,70%;85,40%;77,00%;54,70%;55,50%;66,00%;75,90%
ESM2 8M;LoRA;98;69,00%;77,40%;83,80%;81,30%;59,10%;56,10%;66,10%;76,00%
ESM2 8M;LoRA;97;69,40%;81,30%;84,70%;72,00%;57,80%;54,50%;68,30%;75,80%
ESM2 35M;LoRA;99;69,40%;77,40%;87,70%;75,10%;59,30%;58,20%;68,00%;78,90%
ESM2 35M;LoRA;98;69,20%;81,70%;86,60%;76,80%;57,80%;57,60%;69,40%;78,80%
ESM2 35M;LoRA;97;69,10%;82,50%;86,60%;75,80%;57,20%;56,50%;68,50%;78,70%
ESM2 650M;LoRA;99;69,60%;84,60%;88,20%;74,90%;60,60%;63,30%;67,70%;82,50%
ESM2 650M;LoRA;98;69,60%;80,70%;86,80%;79,90%;59,00%;59,60%;70,60%;82,50%
ESM2 650M;LoRA;97;69,30%;85,00%;87,30%;79,90%;60,80%;59,80%;69,70%;82,40%
ESM2 3B;LoRA;99;69,10%;78,60%;88,00%;82,80%;61,70%;63,90%;71,10%;85,60%
ESM2 3B;LoRA;98;69,20%;84,50%;89,00%;85,30%;64,00%;63,30%;72,30%;85,50%
ESM2 3B;LoRA;97;69,70%;81,80%;87,50%;82,90%;63,10%;64,50%;71,10%;85,50%
ProtT5;LoRA;99;69,90%;85,40%;89,30%;84,10%;71,10%;68,20%;71,90%;86,40%
ProtT5;LoRA;98;70,00%;86,60%;88,90%;84,50%;68,60%;66,90%;70,80%;86,40%
ProtT5;LoRA;97;69,90%;85,00%;89,80%;83,60%;70,10%;68,40%;72,00%;86,50%
Ankh;LoRA;99;69.0%;83.0%;86.6%;77.2%;62.0%;63.1%;68.5%;84.0%
Ankh;LoRA;98;69.2%;81.4%;87.4%;83.0%;61.9%;62.7%;68.0%;84.0%
Ankh;LoRA;97;69.3%;79.6%;85.5%;82.6%;60.1%;61.8%;68.8%;83.9%
Ankh_large;LoRA;96;69.6%;84.2%;87.8%;80.4%;57.2%;61.2%;69.2%;85.8%
Ankh_large;LoRA;95;69.2%;83.6%;89.4%;82.5%;58.5%;64.1%;68.4%;85.7%
Ankh_large;LoRA;99;69.8%;86.1%;89.2%;78.2%;64.0%;63.1%;68.3%;85.6%
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;